Sitting Day,Senate Link,Reps Link
16/12/1992,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1992-12-16/toc_sgml/senate 1992-12-16.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1992-12-16/toc_sgml/reps 1992-12-16.sgm
15/12/1992,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1992-12-15/toc_sgml/senate 1992-12-15.sgm,
14/12/1992,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1992-12-14/toc_sgml/senate 1992-12-14.sgm,
10/12/1992,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1992-12-10/toc_sgml/senate 1992-12-10.sgm,
9/12/1992,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1992-12-09/toc_sgml/senate 1992-12-09.sgm,
8/12/1992,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1992-12-08/toc_sgml/senate 1992-12-08.sgm,
7/12/1992,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1992-12-07/toc_sgml/senate 1992-12-07.sgm,
3/12/1992,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1992-12-03/toc_sgml/senate 1992-12-03.sgm,
2/12/1992,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1992-12-02/toc_sgml/senate 1992-12-02.sgm,
1/12/1992,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1992-12-01/toc_sgml/senate 1992-12-01.sgm,
30/11/1992,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1992-11-30/toc_sgml/senate 1992-11-30.sgm,
26/11/1992,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1992-11-26/toc_sgml/senate 1992-11-26.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1992-11-26/toc_sgml/reps 1992-11-26.sgm
25/11/1992,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1992-11-25/toc_sgml/senate 1992-11-25.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1992-11-25/toc_sgml/reps 1992-11-25.sgm
24/11/1992,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1992-11-24/toc_sgml/senate 1992-11-24.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1992-11-24/toc_sgml/reps 1992-11-24.sgm
12/11/1992,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1992-11-12/toc_sgml/senate 1992-11-12.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1992-11-12/toc_sgml/reps 1992-11-12.sgm
11/11/1992,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1992-11-11/toc_sgml/senate 1992-11-11.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1992-11-11/toc_sgml/reps 1992-11-11.sgm
10/11/1992,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1992-11-10/toc_sgml/senate 1992-11-10.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1992-11-10/toc_sgml/reps 1992-11-10.sgm
9/11/1992,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1992-11-09/toc_sgml/senate 1992-11-09.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1992-11-09/toc_sgml/reps 1992-11-09.sgm
5/11/1992,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1992-11-05/toc_sgml/senate 1992-11-05.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1992-11-05/toc_sgml/reps 1992-11-05.sgm
4/11/1992,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1992-11-04/toc_sgml/senate 1992-11-04.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1992-11-04/toc_sgml/reps 1992-11-04.sgm
3/11/1992,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1992-11-03/toc_sgml/senate 1992-11-03.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1992-11-03/toc_sgml/reps 1992-11-03.sgm
15/10/1992,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1992-10-15/toc_sgml/senate 1992-10-15.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1992-10-15/toc_sgml/reps 1992-10-15.sgm
14/10/1992,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1992-10-14/toc_sgml/senate 1992-10-14.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1992-10-14/toc_sgml/reps 1992-10-14.sgm
13/10/1992,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1992-10-13/toc_sgml/senate 1992-10-13.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1992-10-13/toc_sgml/reps 1992-10-13.sgm
12/10/1992,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1992-10-12/toc_sgml/senate 1992-10-12.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1992-10-12/toc_sgml/reps 1992-10-12.sgm
8/10/1992,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1992-10-08/toc_sgml/senate 1992-10-08.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1992-10-08/toc_sgml/reps 1992-10-08.sgm
7/10/1992,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1992-10-07/toc_sgml/senate 1992-10-07.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1992-10-07/toc_sgml/reps 1992-10-07.sgm
6/10/1992,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1992-10-06/toc_sgml/senate 1992-10-06.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1992-10-06/toc_sgml/reps 1992-10-06.sgm
17/09/1992,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1992-09-17/toc_sgml/senate 1992-09-17.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1992-09-17/toc_sgml/reps 1992-09-17.sgm
16/09/1992,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1992-09-16/toc_sgml/senate 1992-09-16.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1992-09-16/toc_sgml/reps 1992-09-16.sgm
15/09/1992,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1992-09-15/toc_sgml/senate 1992-09-15.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1992-09-15/toc_sgml/reps 1992-09-15.sgm
14/09/1992,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1992-09-14/toc_sgml/senate 1992-09-14.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1992-09-14/toc_sgml/reps 1992-09-14.sgm
10/09/1992,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1992-09-10/toc_sgml/senate 1992-09-10.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1992-09-10/toc_sgml/reps 1992-09-10.sgm
9/09/1992,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1992-09-09/toc_sgml/senate 1992-09-09.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1992-09-09/toc_sgml/reps 1992-09-09.sgm
8/09/1992,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1992-09-08/toc_sgml/senate 1992-09-08.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1992-09-08/toc_sgml/reps 1992-09-08.sgm
20/08/1992,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1992-08-20/toc_sgml/senate 1992-08-20.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1992-08-20/toc_sgml/reps 1992-08-20.sgm
19/08/1992,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1992-08-19/toc_sgml/senate 1992-08-19.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1992-08-19/toc_sgml/reps 1992-08-19.sgm
18/08/1992,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1992-08-18/toc_sgml/senate 1992-08-18.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1992-08-18/toc_sgml/reps 1992-08-18.sgm
25/06/1992,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1992-06-25/toc_sgml/senate 1992-06-25.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1992-06-25/toc_sgml/reps 1992-06-25.sgm
24/06/1992,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1992-06-24/toc_sgml/senate 1992-06-24.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1992-06-24/toc_sgml/reps 1992-06-24.sgm
23/06/1992,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1992-06-23/toc_sgml/senate 1992-06-23.sgm,
22/06/1992,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1992-06-22/toc_sgml/senate 1992-06-22.sgm,
19/06/1992,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1992-06-19/toc_sgml/senate 1992-06-19.sgm,
18/06/1992,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1992-06-18/toc_sgml/senate 1992-06-18.sgm,
17/06/1992,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1992-06-17/toc_sgml/senate 1992-06-17.sgm,
16/06/1992,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1992-06-16/toc_sgml/senate 1992-06-16.sgm,
4/06/1992,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1992-06-04/toc_sgml/senate 1992-06-04.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1992-06-04/toc_sgml/reps 1992-06-04.sgm
3/06/1992,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1992-06-03/toc_sgml/senate 1992-06-03.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1992-06-03/toc_sgml/reps 1992-06-03.sgm
2/06/1992,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1992-06-02/toc_sgml/senate 1992-06-02.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1992-06-02/toc_sgml/reps 1992-06-02.sgm
1/06/1992,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1992-06-01/toc_sgml/senate 1992-06-01.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1992-06-01/toc_sgml/reps 1992-06-01.sgm
28/05/1992,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1992-05-28/toc_sgml/senate 1992-05-28.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1992-05-28/toc_sgml/reps 1992-05-28.sgm
27/05/1992,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1992-05-27/toc_sgml/senate 1992-05-27.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1992-05-27/toc_sgml/reps 1992-05-27.sgm
26/05/1992,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1992-05-26/toc_sgml/senate 1992-05-26.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1992-05-26/toc_sgml/reps 1992-05-26.sgm
7/05/1992,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1992-05-07/toc_sgml/senate 1992-05-07.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1992-05-07/toc_sgml/reps 1992-05-07.sgm
6/05/1992,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1992-05-06/toc_sgml/senate 1992-05-06.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1992-05-06/toc_sgml/reps 1992-05-06.sgm
5/05/1992,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1992-05-05/toc_sgml/senate 1992-05-05.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1992-05-05/toc_sgml/reps 1992-05-05.sgm
4/05/1992,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1992-05-04/toc_sgml/senate 1992-05-04.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1992-05-04/toc_sgml/reps 1992-05-04.sgm
30/04/1992,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1992-04-30/toc_sgml/senate 1992-04-30.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1992-04-30/toc_sgml/reps 1992-04-30.sgm
29/04/1992,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1992-04-29/toc_sgml/senate 1992-04-29.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1992-04-29/toc_sgml/reps 1992-04-29.sgm
28/04/1992,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1992-04-28/toc_sgml/senate 1992-04-28.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1992-04-28/toc_sgml/reps 1992-04-28.sgm
2/04/1992,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1992-04-02/toc_sgml/senate 1992-04-02.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1992-04-02/toc_sgml/reps 1992-04-02.sgm
1/04/1992,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1992-04-01/toc_sgml/senate 1992-04-01.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1992-04-01/toc_sgml/reps 1992-04-01.sgm
31/03/1992,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1992-03-31/toc_sgml/senate 1992-03-31.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1992-03-31/toc_sgml/reps 1992-03-31.sgm
30/03/1992,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1992-03-30/toc_sgml/senate 1992-03-30.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1992-03-30/toc_sgml/reps 1992-03-30.sgm
26/03/1992,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1992-03-26/toc_sgml/senate 1992-03-26.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1992-03-26/toc_sgml/reps 1992-03-26.sgm
25/03/1992,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1992-03-25/toc_sgml/senate 1992-03-25.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1992-03-25/toc_sgml/reps 1992-03-25.sgm
24/03/1992,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1992-03-24/toc_sgml/senate 1992-03-24.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1992-03-24/toc_sgml/reps 1992-03-24.sgm
5/03/1992,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1992-03-05/toc_sgml/senate 1992-03-05.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1992-03-05/toc_sgml/reps 1992-03-05.sgm
4/03/1992,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1992-03-04/toc_sgml/senate 1992-03-04.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1992-03-04/toc_sgml/reps 1992-03-04.sgm
3/03/1992,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1992-03-03/toc_sgml/senate 1992-03-03.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1992-03-03/toc_sgml/reps 1992-03-03.sgm
2/03/1992,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1992-03-02/toc_sgml/senate 1992-03-02.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1992-03-02/toc_sgml/reps 1992-03-02.sgm
27/02/1992,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1992-02-27/toc_sgml/senate 1992-02-27.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1992-02-27/toc_sgml/reps 1992-02-27.sgm
26/02/1992,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1992-02-26/toc_sgml/senate 1992-02-26.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1992-02-26/toc_sgml/reps 1992-02-26.sgm
25/02/1992,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1992-02-25/toc_sgml/senate 1992-02-25.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1992-02-25/toc_sgml/reps 1992-02-25.sgm
2/01/1992,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1992-01-02/toc_sgml/senate 1992-01-02.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1992-01-02/toc_sgml/reps 1992-01-02.sgm
19/12/1991,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1991-12-19/toc_sgml/senate 1991-12-19.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1991-12-19/toc_sgml/reps 1991-12-19.sgm
18/12/1991,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1991-12-18/toc_sgml/senate 1991-12-18.sgm,
12/12/1991,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1991-12-12/toc_sgml/senate 1991-12-12.sgm,
11/12/1991,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1991-12-11/toc_sgml/senate 1991-12-11.sgm,
10/12/1991,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1991-12-10/toc_sgml/senate 1991-12-10.sgm,
9/12/1991,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1991-12-09/toc_sgml/senate 1991-12-09.sgm,
5/12/1991,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1991-12-05/toc_sgml/senate 1991-12-05.sgm,
4/12/1991,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1991-12-04/toc_sgml/senate 1991-12-04.sgm,
3/12/1991,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1991-12-03/toc_sgml/senate 1991-12-03.sgm,
2/12/1991,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1991-12-02/toc_sgml/senate 1991-12-02.sgm,
28/11/1991,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1991-11-28/toc_sgml/senate 1991-11-28.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1991-11-28/toc_sgml/reps 1991-11-28.sgm
27/11/1991,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1991-11-27/toc_sgml/senate 1991-11-27.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1991-11-27/toc_sgml/reps 1991-11-27.sgm
26/11/1991,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1991-11-26/toc_sgml/senate 1991-11-26.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1991-11-26/toc_sgml/reps 1991-11-26.sgm
14/11/1991,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1991-11-14/toc_sgml/senate 1991-11-14.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1991-11-14/toc_sgml/reps 1991-11-14.sgm
13/11/1991,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1991-11-13/toc_sgml/senate 1991-11-13.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1991-11-13/toc_sgml/reps 1991-11-13.sgm
12/11/1991,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1991-11-12/toc_sgml/senate 1991-11-12.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1991-11-12/toc_sgml/reps 1991-11-12.sgm
11/11/1991,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1991-11-11/toc_sgml/senate 1991-11-11.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1991-11-11/toc_sgml/reps 1991-11-11.sgm
7/11/1991,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1991-11-07/toc_sgml/senate 1991-11-07.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1991-11-07/toc_sgml/reps 1991-11-07.sgm
6/11/1991,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1991-11-06/toc_sgml/senate 1991-11-06.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1991-11-06/toc_sgml/reps 1991-11-06.sgm
5/11/1991,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1991-11-05/toc_sgml/senate 1991-11-05.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1991-11-05/toc_sgml/reps 1991-11-05.sgm
17/10/1991,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1991-10-17/toc_sgml/senate 1991-10-17.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1991-10-17/toc_sgml/reps 1991-10-17.sgm
16/10/1991,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1991-10-16/toc_sgml/senate 1991-10-16.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1991-10-16/toc_sgml/reps 1991-10-16.sgm
15/10/1991,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1991-10-15/toc_sgml/senate 1991-10-15.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1991-10-15/toc_sgml/reps 1991-10-15.sgm
14/10/1991,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1991-10-14/toc_sgml/senate 1991-10-14.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1991-10-14/toc_sgml/reps 1991-10-14.sgm
10/10/1991,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1991-10-10/toc_sgml/senate 1991-10-10.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1991-10-10/toc_sgml/reps 1991-10-10.sgm
9/10/1991,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1991-10-09/toc_sgml/senate 1991-10-09.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1991-10-09/toc_sgml/reps 1991-10-09.sgm
8/10/1991,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1991-10-08/toc_sgml/senate 1991-10-08.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1991-10-08/toc_sgml/reps 1991-10-08.sgm
12/09/1991,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1991-09-12/toc_sgml/senate 1991-09-12.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1991-09-12/toc_sgml/reps 1991-09-12.sgm
11/09/1991,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1991-09-11/toc_sgml/senate 1991-09-11.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1991-09-11/toc_sgml/reps 1991-09-11.sgm
10/09/1991,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1991-09-10/toc_sgml/senate 1991-09-10.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1991-09-10/toc_sgml/reps 1991-09-10.sgm
9/09/1991,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1991-09-09/toc_sgml/senate 1991-09-09.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1991-09-09/toc_sgml/reps 1991-09-09.sgm
5/09/1991,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1991-09-05/toc_sgml/senate 1991-09-05.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1991-09-05/toc_sgml/reps 1991-09-05.sgm
4/09/1991,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1991-09-04/toc_sgml/senate 1991-09-04.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1991-09-04/toc_sgml/reps 1991-09-04.sgm
3/09/1991,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1991-09-03/toc_sgml/senate 1991-09-03.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1991-09-03/toc_sgml/reps 1991-09-03.sgm
22/08/1991,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1991-08-22/toc_sgml/senate 1991-08-22.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1991-08-22/toc_sgml/reps 1991-08-22.sgm
21/08/1991,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1991-08-21/toc_sgml/senate 1991-08-21.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1991-08-21/toc_sgml/reps 1991-08-21.sgm
20/08/1991,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1991-08-20/toc_sgml/senate 1991-08-20.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1991-08-20/toc_sgml/reps 1991-08-20.sgm
16/08/1991,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1991-08-16/toc_sgml/senate 1991-08-16.sgm,
15/08/1991,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1991-08-15/toc_sgml/senate 1991-08-15.sgm,
14/08/1991,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1991-08-14/toc_sgml/senate 1991-08-14.sgm,
13/08/1991,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1991-08-13/toc_sgml/senate 1991-08-13.sgm,
21/06/1991,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1991-06-21/toc_sgml/senate 1991-06-21.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1991-06-21/toc_sgml/reps 1991-06-21.sgm
20/06/1991,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1991-06-20/toc_sgml/senate 1991-06-20.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1991-06-20/toc_sgml/reps 1991-06-20.sgm
19/06/1991,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1991-06-19/toc_sgml/senate 1991-06-19.sgm,
18/06/1991,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1991-06-18/toc_sgml/senate 1991-06-18.sgm,
17/06/1991,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1991-06-17/toc_sgml/senate 1991-06-17.sgm,
6/06/1991,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1991-06-06/toc_sgml/senate 1991-06-06.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1991-06-06/toc_sgml/reps 1991-06-06.sgm
5/06/1991,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1991-06-05/toc_sgml/senate 1991-06-05.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1991-06-05/toc_sgml/reps 1991-06-05.sgm
4/06/1991,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1991-06-04/toc_sgml/senate 1991-06-04.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1991-06-04/toc_sgml/reps 1991-06-04.sgm
3/06/1991,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1991-06-03/toc_sgml/senate 1991-06-03.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1991-06-03/toc_sgml/reps 1991-06-03.sgm
30/05/1991,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1991-05-30/toc_sgml/senate 1991-05-30.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1991-05-30/toc_sgml/reps 1991-05-30.sgm
29/05/1991,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1991-05-29/toc_sgml/senate 1991-05-29.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1991-05-29/toc_sgml/reps 1991-05-29.sgm
