Sitting Day,Senate Link,Reps Link
16/10/1996,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1996-10-16/toc_sgml/senate 1996-10-16.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1996-10-16/toc_sgml/reps 1996-10-16.sgm
15/10/1996,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1996-10-15/toc_sgml/senate 1996-10-15.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1996-10-15/toc_sgml/reps 1996-10-15.sgm
14/10/1996,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1996-10-14/toc_sgml/senate 1996-10-14.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1996-10-14/toc_sgml/reps 1996-10-14.sgm
11/10/1996,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1996-10-11/toc_sgml/senate 1996-10-11.sgm,
10/10/1996,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1996-10-10/toc_sgml/senate 1996-10-10.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1996-10-10/toc_sgml/reps 1996-10-10.sgm
9/10/1996,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1996-10-09/toc_sgml/senate 1996-10-09.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1996-10-09/toc_sgml/reps 1996-10-09.sgm
8/10/1996,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1996-10-08/toc_sgml/senate 1996-10-08.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1996-10-08/toc_sgml/reps 1996-10-08.sgm
19/09/1996,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1996-09-19/toc_sgml/senate 1996-09-19.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1996-09-19/toc_sgml/reps 1996-09-19.sgm
18/09/1996,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1996-09-18/toc_sgml/senate 1996-09-18.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1996-09-18/toc_sgml/reps 1996-09-18.sgm
17/09/1996,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1996-09-17/toc_sgml/senate 1996-09-17.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1996-09-17/toc_sgml/reps 1996-09-17.sgm
16/09/1996,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1996-09-16/toc_sgml/senate 1996-09-16.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1996-09-16/toc_sgml/reps 1996-09-16.sgm
12/09/1996,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1996-09-12/toc_sgml/senate 1996-09-12.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1996-09-12/toc_sgml/reps 1996-09-12.sgm
11/09/1996,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1996-09-11/toc_sgml/senate 1996-09-11.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1996-09-11/toc_sgml/reps 1996-09-11.sgm
10/09/1996,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1996-09-10/toc_sgml/senate 1996-09-10.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1996-09-10/toc_sgml/reps 1996-09-10.sgm
9/09/1996,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1996-09-09/toc_sgml/senate 1996-09-09.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1996-09-09/toc_sgml/reps 1996-09-09.sgm
22/08/1996,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1996-08-22/toc_sgml/senate 1996-08-22.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1996-08-22/toc_sgml/reps 1996-08-22.sgm
21/08/1996,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1996-08-21/toc_sgml/senate 1996-08-21.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1996-08-21/toc_sgml/reps 1996-08-21.sgm
20/08/1996,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1996-08-20/toc_sgml/senate 1996-08-20.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1996-08-20/toc_sgml/reps 1996-08-20.sgm
28/06/1996,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1996-06-28/toc_sgml/senate 1996-06-28.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1996-06-28/toc_sgml/reps 1996-06-28.sgm
27/06/1996,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1996-06-27/toc_sgml/senate 1996-06-27.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1996-06-27/toc_sgml/reps 1996-06-27.sgm
26/06/1996,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1996-06-26/toc_sgml/senate 1996-06-26.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1996-06-26/toc_sgml/reps 1996-06-26.sgm
25/06/1996,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1996-06-25/toc_sgml/senate 1996-06-25.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1996-06-25/toc_sgml/reps 1996-06-25.sgm
24/06/1996,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1996-06-24/toc_sgml/senate 1996-06-24.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1996-06-24/toc_sgml/reps 1996-06-24.sgm
20/06/1996,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1996-06-20/toc_sgml/senate 1996-06-20.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1996-06-20/toc_sgml/reps 1996-06-20.sgm
19/06/1996,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1996-06-19/toc_sgml/senate 1996-06-19.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1996-06-19/toc_sgml/reps 1996-06-19.sgm
18/06/1996,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1996-06-18/toc_sgml/senate 1996-06-18.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1996-06-18/toc_sgml/reps 1996-06-18.sgm
17/06/1996,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1996-06-17/toc_sgml/senate 1996-06-17.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1996-06-17/toc_sgml/reps 1996-06-17.sgm
31/05/1996,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1996-05-31/toc_sgml/senate 1996-05-31.sgm,
